,geoname,year,incper,poptot,area,popdens
288,"Northampton, PA",2016,48650,302294,976,309.727459
289,"Northumberland, PA",2011,34634,94451,1235,76.47854251
290,"Northumberland, PA",2012,35161,94512,1235,76.52793522
291,"Northumberland, PA",2013,35676,94025,1235,76.13360324
292,"Northumberland, PA",2014,36343,93729,1235,75.89392713
293,"Northumberland, PA",2015,37771,93144,1235,75.42024291
294,"Northumberland, PA",2016,38764,92541,1235,74.93198381
295,"Perry, PA",2011,35802,45841,1440,31.83402778
296,"Perry, PA",2012,36634,45720,1440,31.75
297,"Perry, PA",2013,37303,45537,1440,31.62291667
298,"Perry, PA",2014,38571,45479,1440,31.58263889
299,"Perry, PA",2015,40038,45679,1440,31.72152778
300,"Perry, PA",2016,40573,45820,1440,31.81944444
301,"Philadelphia, PA",2011,41662,1539022,370,4159.518919
302,"Philadelphia, PA",2012,44906,1550379,370,4190.213514
303,"Philadelphia, PA",2013,46614,1555868,370,4205.048649
304,"Philadelphia, PA",2014,48311,1560609,370,4217.862162
305,"Philadelphia, PA",2015,49797,1564964,370,4229.632432
306,"Philadelphia, PA",2016,51645,1567872,370,4237.491892
307,"Pike, PA",2011,35435,57529,1469,39.16201498
308,"Pike, PA",2012,36686,56758,1469,38.63716814
309,"Pike, PA",2013,37112,56598,1469,38.52825051
310,"Pike, PA",2014,38813,56205,1469,38.26072158
311,"Pike, PA",2015,41120,55927,1469,38.0714772
312,"Pike, PA",2016,42332,55562,1469,37.82300885
313,"Potter, PA",2011,31845,17444,2800,6.23
314,"Potter, PA",2012,32983,17610,2800,6.289285714
315,"Potter, PA",2013,32979,17478,2800,6.242142857
316,"Potter, PA",2014,34318,17182,2800,6.136428571
317,"Potter, PA",2015,35165,17041,2800,6.086071429
318,"Potter, PA",2016,36338,16885,2800,6.030357143
319,"Schuylkill, PA",2011,35569,147621,2015,73.26104218
320,"Schuylkill, PA",2012,36181,147302,2015,73.10272953
321,"Schuylkill, PA",2013,36445,146758,2015,72.83275434
322,"Schuylkill, PA",2014,37829,145559,2015,72.23771712
323,"Schuylkill, PA",2015,39745,144321,2015,71.62332506
324,"Schuylkill, PA",2016,40325,143573,2015,71.25210918
325,"Snyder, PA",2011,34513,39664,860,46.12093023
326,"Snyder, PA",2012,35066,39803,860,46.28255814
327,"Snyder, PA",2013,35975,40091,860,46.61744186
328,"Snyder, PA",2014,36833,40271,860,46.82674419
329,"Snyder, PA",2015,38214,40599,860,47.20813953
330,"Snyder, PA",2016,38247,40468,860,47.05581395
331,"Somerset, PA",2011,34170,77377,2800,27.63464286
332,"Somerset, PA",2012,34759,77191,2800,27.56821429
333,"Somerset, PA",2013,34597,76769,2800,27.4175
334,"Somerset, PA",2014,35625,76334,2800,27.26214286
335,"Somerset, PA",2015,36555,75649,2800,27.0175
336,"Somerset, PA",2016,37250,75061,2800,26.8075
337,"Sullivan, PA",2011,33843,6448,1171,5.506404782
338,"Sullivan, PA",2012,35028,6446,1171,5.50469684
339,"Sullivan, PA",2013,36378,6325,1171,5.401366354
340,"Sullivan, PA",2014,38721,6311,1171,5.38941076
341,"Sullivan, PA",2015,39851,6292,1171,5.373185312
342,"Sullivan, PA",2016,40211,6137,1171,5.240819812
343,"Susquehanna, PA",2011,34861,43120,2155,20.00928074
344,"Susquehanna, PA",2012,36280,42758,2155,19.8412993
345,"Susquehanna, PA",2013,37500,42266,2155,19.61299304
346,"Susquehanna, PA",2014,39086,41828,2155,19.40974478
347,"Susquehanna, PA",2015,40026,41448,2155,19.23341067
348,"Susquehanna, PA",2016,40747,40862,2155,18.96148492
349,"Tioga, PA",2011,33072,42414,2945,14.40203735
350,"Tioga, PA",2012,33606,42606,2945,14.4672326
351,"Tioga, PA",2013,34045,42397,2945,14.39626486
352,"Tioga, PA",2014,35162,42051,2945,14.27877759
353,"Tioga, PA",2015,36380,41633,2945,14.13684211
354,"Tioga, PA",2016,36499,41467,2945,14.08047538
355,"Union, PA",2011,32150,45064,821,54.88915956
356,"Union, PA",2012,33177,45143,821,54.98538368
357,"Union, PA",2013,34127,44746,821,54.50182704
358,"Union, PA",2014,35103,44944,821,54.74299635
359,"Union, PA",2015,35787,45494,821,55.41291108
360,"Union, PA",2016,36251,45565,821,55.49939099
361,"Venango, PA",2011,35594,54713,1769,30.92877332
362,"Venango, PA",2012,35764,54232,1769,30.65686829
363,"Venango, PA",2013,35755,53905,1769,30.47201809
364,"Venango, PA",2014,37183,53479,1769,30.23120407
365,"Venango, PA",2015,37875,53101,1769,30.01752402
366,"Venango, PA",2016,38174,52582,1769,29.72413793
367,"Warren, PA",2011,35850,41502,2326,17.84264832
368,"Warren, PA",2012,37708,41239,2326,17.72957868
369,"Warren, PA",2013,39439,40947,2326,17.60404127
370,"Warren, PA",2014,42074,40690,2326,17.49355116
371,"Warren, PA",2015,39734,40344,2326,17.34479794
372,"Warren, PA",2016,39645,40025,2326,17.20765262
373,"Washington, PA",2011,44930,208069,2230,93.3044843
374,"Washington, PA",2012,46697,208480,2230,93.48878924
375,"Washington, PA",2013,47685,208264,2230,93.39192825
376,"Washington, PA",2014,49876,208354,2230,93.432287
