"","geoname","county","year","X","incper","popdens","DO","urbanrural","incper2","incper3","SCI","sci2","sci3"
"8","MRE","Allegheny, PA",2014,7,52008,638.6870466,8.642574257,1,2704832064,140672905984512,0.414303470314435,0.171647365514584,0.0711140992030222
"9","MRE","Allegheny, PA",2015,10,54396,636.9419689,8.284153005,1,2958924816,160953674291136,0.400900244416023,0.160721005972827,0.0644330905772952
"12","MRE","Allegheny, PA",2016,12,54796,634.9041451,8.524423963,1,3002601616,164530558150336,0.400900244416023,0.160721005972827,0.0644330905772952
"44","ORMDL","Beaver, PA",2011,44,38637,148.133913,8.916564417,1,1492817769,57678000140853,0.629054130680612,0.395709099326341,0.248922443479139
"46","ORMDL","Beaver, PA",2012,46,39917,148.0434783,8.843062201,1,1593366889,63602426108213,0.634548930884874,0.402652345687137,0.25550261547406
"47","ORMDL","Beaver, PA",2013,48,40152,147.8652174,8.896174863,1,1612183104,64732375991808,0.621517124035543,0.386283535469412,0.240081832027231
"49","ORMDL","Beaver, PA",2014,50,41421,147.2973913,9.272826087,1,1715699241,71065978261461,0.611869249060491,0.37438397794585,0.229074043446007
"52","ORMDL","Beaver, PA",2015,52,42909,146.8765217,8.651685393,1,1841182281,79003290495429,0.591239231567539,0.349563828944574,0.206675849608997
"54","ORMDL","Beaver, PA",2016,54,43659,145.5904348,8.935211268,1,1906108281,83218781440179,0.591239231567539,0.349563828944574,0.206675849608997
"115","PCPCW","Lycoming, PA",2011,115,37056,36.21260087,9.978343949,0,1373147136,50883340271616,0.742866375537343,0.551850451903989,0.409951145044561
"116","PCPCW","Lycoming, PA",2012,116,38167,36.41185599,9.449173554,0,1456719889,55598628003463,0.751051260371854,0.564077995706151,0.423651489623134
"117","PCPCW","Lycoming, PA",2013,117,38534,36.22594662,9.294628099,0,1484869156,57217948057304,0.735865382844069,0.541497861668248,0.398469531285749
"118","PCPCW","Lycoming, PA",2014,118,39973,36.14214773,9.631318681,0,1597840729,63870487460317,0.737754336398041,0.544281460874114,0.401546007980938
"119","PCPCW","Lycoming, PA",2015,119,40506,35.9494103,10.07976654,0,1640736036,66459653874216,0.738002971294425,0.5446483856394,0.401952126912589
"120","PCPCW","Lycoming, PA",2016,120,40185,35.76908752,9.074647887,0,1614834225,64892113331625,0.738002971294425,0.5446483856394,0.401952126912589
"97","SFTCJ","Greene, PA",2011,97,37041,2.650065531,9.034814815,1,1372035681,50821573659921,0.657138292631306,0.431830735642388,0.28377251232576
"98","SFTCJ","Greene, PA",2012,98,39719,2.625577706,9.111578947,1,1577598961,62660653131959,0.712020965525559,0.50697385534795,0.360976013981062
"99","SFTCJ","Greene, PA",2013,99,41402,2.611712768,8.801058201,1,1714125604,70968228256808,0.737219231284118,0.543492194975146,0.400672898188495
"100","SFTCJ","Greene, PA",2014,100,44703,2.606263365,8.891037736,1,1998358209,89332607016927,0.705113929341329,0.497185653351168,0.350572529646578
"101","SFTCJ","Greene, PA",2015,101,43816,2.582465338,8.878773585,1,1919841856,84119790762496,0.678144764049314,0.4598803210075,0.311865431780554
"102","SFTCJ","Greene, PA",2016,102,42565,2.565841209,8.250581395,1,1811779225,77118382712125,0.678144764049314,0.4598803210075,0.311865431780554
"127","SRVD","Montgomery, PA",2011,127,65571,638.778747,9.15,1,4299556041,281926189164411,0.349121839188506,0.121886058598365,0.0425530849492991
"128","SRVD","Montgomery, PA",2012,128,69830,641.9825535,9.34375,1,4876228900,340507064087000,0.353340397527753,0.124849436525071,0.0441143495328845
"129","SRVD","Montgomery, PA",2013,129,66589,645.0436162,9.126960784,1,4434094921,295261946694469,0.340253816612646,0.115772659719472,0.0393920893289475
"130","SRVD","Montgomery, PA",2014,130,69282,647.3830293,9.536,1,4799995524,332553289893768,0.344789377608904,0.118879714911935,0.04098846291481
"131","SRVD","Montgomery, PA",2015,131,71969,648.9793814,9.018181818,1,5179536961,372766095546209,0.338034402148063,0.114267257035598,0.0386262639171274
"132","SRVD","Montgomery, PA",2016,132,72780,651.6455194,9.183163265,1,5296928400,385510448952000,0.338034402148063,0.114267257035598,0.0386262639171274
"55","WBBC","Chester, PA",2011,55,64442,255.9207317,10.14,1,4152771364,267612892238888,0.3289458105646,0.108205346288002,0.0355936953421301
"58","WBBC","Chester, PA",2012,57,67880,257.2550813,9.803321033,1,4607694400,312770295872000,0.332574812422913,0.110606005858136,0.0367847716511171
"59","WBBC","Chester, PA",2013,60,68073,258.8394309,10.44028269,1,4633933329,315445743505017,0.329906723225855,0.108838446029621,0.0359065350906263
"62","WBBC","Chester, PA",2014,62,71861,260.6194106,10.89587302,1,5164003321,371090442650381,0.333972202604008,0.111537432112173,0.0372504018752974
"63","WBBC","Chester, PA",2015,63,74825,261.8155488,11.17286136,1,5598780625,418928760265625,0.322618799550205,0.104082889823215,0.0335790969684819
"66","WBBC","Chester, PA",2016,66,75281,262.3536585,10.03053691,1,5667228961,426634663413041,0.322618799550205,0.104082889823215,0.0335790969684819
"85","WCUPE","Erie, PA",2011,85,36753,135.9096182,9.05125,1,1350783009,49645327929777,0.50321125269063,0.253221564834473,0.127423940848637
"86","WCUPE","Erie, PA",2012,86,37866,136.0758821,10.15565611,1,1433833956,54293556577896,0.509897644580174,0.259995607948409,0.132571148094084
"87","WCUPE","Erie, PA",2013,87,37626,135.6273562,10.28673469,1,1415715876,53267725550376,0.495229207082961,0.245251967548019,0.121455937424341
"88","WCUPE","Erie, PA",2014,88,38808,134.9690672,9.760732984,1,1506060864,58447210010112,0.511736473933627,0.261874218754022,0.134010589319307
"89","WCUPE","Erie, PA",2015,89,40186,134.3895602,9.439393939,1,1614914596,64896957954856,0.494411090275017,0.244442326186931,0.120854996999442
